Experiment,ItemName,Mood,Factivity,Verb,Group,Itemno,Audio,Sentences,Words
Experiment,critical+5+ind,ind,factive,notar,B,5,cincob.mp3,No notaron que Juan pensaba que merecía la pena intentarlo.,10
Experiment,critical+6+subj,subj,factive,notar,B,6,seisb.mp3,No notó que María pensaba que pudiera ser cierto.,9
Experiment,critical+7+ind,ind,factive,descubrir,B,7,sieteb.mp3,No descubrió que su familia creía que le iban a despedir.,11
Experiment,critical+8+subj,subj,factive,descubrir,B,8,ochob.mp3,No descubrió que su pareja creía que las relaciones a larga distancia no tuvieran futuro.,15
Experiment,critical+9+ind,ind,factive,enterarse,B,9,nueveb.mp3,No se enteraron de que su amiga creía que Laura estaba embarazada.,12
Experiment,critical+10+subj,subj,factive,enterarse,B,10,diezb.mp3,No se enteraron de que Juan pensaba que no fuera cierto.,11
Experiment,critical+11+ind,ind,non-factive,imaginar,B,11,onceb.mp3,No imaginaba que creías que el equipo iba a ganar.,10
Experiment,critical+12+subj,subj,non-factive,imaginar,B,12,doceb.mp3,No imaginaban que  en la Edad Media se creía que  los dientes perforados otorgaran fuerza.,15
Experiment,critical+13+ind,ind,non-factive,pensar,B,13,treceb.mp3,Nadie pensaba que María creía que la biblioteca abría los domingos.,11
Experiment,critical+14+subj,subj,non-factive,pensar,B,14,catorceb.mp3,Nadie pensaba que todavía creías que Papa Noel trajera los regalos.,11
Experiment,critical+15+ind,ind,non-factive,asumir,B,15,quinceb.mp3,No asumían que alguien  podía creer que el teorema de Pitágoras era falso.,13
Experiment,critical+16+subj,subj,non-factive,asumir,B,16,dieciseisb.mp3,No asumía que Juan creía que la termodinámica fuera un engañabobos.,11
Experiment,critical+17+ind,ind,non-factive,decir,B,17,diecisieteb.mp3,El profesor no nos dijo que los romanos creían que la sangre de los gladiadores podía curar la epilepsia.,19
Experiment,critical+18+subj,subj,non-factive,decir,B,18,dieciochob.mp3,El profesor no nos dijo que los griegos creían que el destino estuviera predeterminado.,14
Experiment,critical+19+ind,ind,non-factive,creer,B,19,diecinueveb.mp3,No creían que pensaba que le convenía.,7
Experiment,critical+20+subj,subj,non-factive,creer,B,20,veinteb.mp3,No creían que Ana pensaba que pudiera ser posible.,9
Fillers ,filler+1,subj,factive,conseguir,B,21,veintiunob.mp3,Consiguió que María apruebe.,4
Fillers ,filler+2,ind,factive,conseguir,B,22,veintidosb.mp3,Siempre consigue que Juan sonríe.,5
Fillers ,filler+3,subj,factive,reconocer,B,23,veintitresb.mp3,El profesor reconoció que estuviera equivocado.,6
Fillers ,filler+4,ind,factive,reconocer,B,24,veinticuatrob.mp3,Reconocieron que habían trabajado poco.,5
Fillers ,filler+5,ind,non-factive,desear,B,25,venticincob.mp3,Deseo que vienes a París.,5
Fillers ,filler+6,subj,non-factive,desear,B,26,veintiseisb.mp3,Deseamos que todo vaya bien.,5
Fillers ,filler+7,ind,non-factive,soñar,B,27,veintisieteb.mp3,Soñé que Ana trabaja en un supermercado.,7
Fillers ,filler+8,subj,non-factive,soñar,B,28,veintiochob.mp3,Soñó que viajara por todo el mundo.,7
Pure Fillers ,filler+9+si,subj,,creer,B,29,veintinueveb.mp3,Ellos sí creen que sea cierto.,7
Pure Fillers ,filler+10+si,subj,,creer,B,30,treintab.mp3,Sí que creo que quede comida en la nevera.,9
Pure Fillers ,filler+11+presente,subj,,ordenar,B,31,treintaiunob.mp3,Te ordeno que hagas los deberes.,6
Pure Fillers ,filler+12+pasado,subj,,ordenar,B,32,treintaidosb.mp3,Te ordeno que ordenaras el cuarto.,6
Pure Fillers ,filler+13+presente,subj,,querer,B,33,treintaitresb.mp3,Quiero que acabe el trabajo.,5
Pure Fillers ,filler+14+pasado,subj,,querer,B,34,treintaicuatrob.mp3,Quiero que viniera mañana.,4
Pure Fillers ,filler+15+presente,subj,,prohibir,B,35,treintaicincob.mp3,Ana me prohíbe que lleve esta ropa a la escuela.,10
Pure Fillers ,filler+16+pasado,subj,,prohibir,B,36,treintaiseisb.mp3,Está prohibido que condujeras borracho.,5
Pure Fillers ,filler+17+presente,subj,,esperar,B,37,treintaisieteb.mp3,Espero que seas muy feliz.,5
Pure Fillers ,filler+18+pasado,subj,,esperar,B,38,treintaiochob.mp3,Espero que cantaras en el festival.,6
Pure Fillers ,filler+19+presente,subj,,necesito,B,39,treintainueveb.mp3,Necesito que me hagas caso.,5
Pure Fillers ,filler+20+pasado,subj,,necesito,B,40,cuarentab.mp3,Necesito que completaran el formulario.,5
